#{"t_start": 1747140063.5883043, "env_id": "None"}
r,l,t
0.0,10,1.316633
0.0,10,1.37365
0.0,10,1.422715
0.0,10,1.473312
0.0,10,1.525529
0.0,10,1.578198
0.0,10,1.627552
0.0,10,1.684293
0.0,10,1.740288
0.0,10,1.791389
0.0,10,2.204034
0.0,10,2.775729
0.0,10,4.916492
0.0,10,5.39004
0.0,10,7.500761
0.0,10,7.905581
0.0,10,8.260891
0.0,10,10.517706
0.0,10,11.77379
0.0,10,13.169307
0.0,10,13.640613
0.0,10,15.63978
0.0,10,16.096961
0.0,10,16.509119
0.0,10,18.666512
0.0,10,19.172677
0.0,10,21.196726
0.0,10,21.527234
0.0,10,22.252097
0.0,10,24.145322
0.0,10,24.66477
0.0,10,27.103289
0.0,10,29.511104
0.0,10,29.897601
0.0,10,31.959214
0.0,10,32.437132
0.0,10,34.587007
0.0,10,34.990383
0.0,10,36.044841
0.0,10,37.719603
0.0,10,39.874067
0.0,10,40.430197
0.0,10,41.159711
0.0,10,42.820416
0.0,10,43.285348
0.0,10,45.518924
0.0,10,45.941447
0.0,10,47.990916
0.0,10,48.557525
0.0,10,50.619791
0.0,10,51.244295
0.0,10,52.949423
0.0,10,53.738082
0.0,10,56.029561
0.0,10,56.571044
0.0,10,58.848055
0.0,10,59.208339
0.0,10,59.558414
0.0,10,61.706678
0.0,10,62.130224
0.0,10,64.11741
0.0,10,64.947685
0.0,10,67.112072
8.0,10,67.577168
20.880001,10,69.780183
21.780001,10,70.400936
10.170667,10,72.6094
27.443335,10,73.008256
27.443335,10,73.359041
16.576667,10,75.632668
13.809999,10,75.980681
24.690001,10,78.305872
18.560001,10,78.775364
14.096667,10,80.771956
26.643333,10,81.142924
26.643333,10,81.618469
13.756667,10,83.936898
13.01,10,84.466287
27.183333,10,86.548986
10.81,10,87.130973
19.336666,10,89.363853
26.266665,10,90.076127
8.743334,10,91.966308
12.309999,10,92.369841
12.19,10,94.550746
8.07,10,95.164724
18.95,10,97.116874
28.476667,10,97.663162
13.67,10,100.06266
23.52,10,100.781638
11.350001,10,102.750435
4.643334,10,103.136722
16.523332,10,105.276958
27.676668,10,105.86875
20.303334,10,107.947798
17.79,10,110.668554
3.843334,10,111.374852
19.986667,10,113.855356
22.19,10,115.581337
-5.461666,10,116.859792
-102.810666,10,119.00087
-206.800003,10,119.644118
-37.846,10,121.752546
-143.086662,10,122.278989
-113.449997,10,124.493384
-18.149331,10,125.098061
-10.73333,10,125.478807
-159.290675,10,127.49474
-183.266678,10,127.929277
-19.921999,10,129.968067
-146.549997,10,130.755838
-103.658002,10,132.742463
-12.822001,10,133.441771
-119.903333,10,135.498875
-206.030006,10,135.852001
-90.264669,10,138.086981
-121.160668,10,138.797943
-117.160003,10,140.914118
-12.622001,10,141.544654
268.749336,10,144.215039
90.525669,10,146.60959
-137.103329,10,147.401833
85.09201,10,149.45208
143.126664,10,149.915425
-1.406339,10,152.291402
-141.795669,10,153.276831
87.277326,10,155.0185
-6.771336,10,156.164528
-68.775354,10,157.585105
-63.753357,10,157.959258
14.287326,10,160.298845
12.523332,10,160.90784
