Step 10000, Reward: 400.1736145019531
Step 20000, Reward: 830.7467041015625
Step 30000, Reward: 596.372314453125
Step 40000, Reward: 1326.5028076171875
Step 50000, Reward: 1359.2867431640625
Step 60000, Reward: 712.4439697265625
Step 70000, Reward: 98.29307556152344
Step 80000, Reward: 530.1213989257812
Step 90000, Reward: 778.9149169921875
Step 100000, Reward: 597.6759643554688
Step 110000, Reward: 170.1348876953125
Step 120000, Reward: 152.33096313476562
Step 130000, Reward: 714.6181640625
Step 140000, Reward: 729.9713745117188
Step 150000, Reward: 746.4360961914062
Step 160000, Reward: 500.769775390625
Step 170000, Reward: 9.463495254516602
Step 180000, Reward: -144.1934814453125
Step 190000, Reward: -44.24327850341797
Step 200000, Reward: 956.7481689453125
