#{"t_start": 1746954317.2411087, "env_id": "None"}
r,l,t
0.0,10,1.312363
0.0,10,1.356387
0.0,10,1.400713
0.0,10,1.44696
0.0,10,1.492517
0.0,10,1.536394
0.0,10,1.579789
0.0,10,1.624046
0.0,10,1.668778
0.0,10,1.713302
0.0,10,2.620808
0.0,10,2.965801
-1055.916672,10,3.342385
-2111.833344,10,3.79039
-2111.833344,10,4.134733
-6659.383194,10,4.476209
-8608.33313,10,4.855153
-8608.33313,10,5.203194
-10205.533813,10,5.511679
-10604.833984,10,5.946331
-7951.733795,10,6.428226
-1761.166687,10,6.833444
-1761.166687,10,7.162877
-2342.266678,10,8.177784
1855.466721,10,8.603475
3682.166748,10,8.911843
3682.166748,10,9.318506
8641.233643,10,9.717262
9881.000366,10,10.043804
9200.683716,10,10.589252
6479.417114,10,10.905644
6479.417114,10,11.35734
2732.166718,10,11.794738
233.999786,10,12.120799
233.999786,10,12.557398
3556.333008,10,12.991251
3556.333008,10,13.303028
5410.983215,10,13.756658
9738.500366,10,14.177944
9738.500366,10,14.661465
6330.249634,10,15.118754
6330.249634,10,15.39745
4447.47477,10,15.858595
54.33342,10,16.238752
54.33342,10,16.591458
3080.550026,10,17.03201
4377.5,10,17.435647
4574.691711,10,17.893355
6349.417114,10,18.184139
6349.417114,10,18.5779
5100.333664,10,18.969903
103.999863,10,19.267536
103.999863,10,19.637139
798.966492,10,20.039472
3578.833008,10,20.343407
3578.833008,10,20.702146
4197.049744,10,21.233742
9761.000366,10,21.548041
9761.000366,10,21.959723
7039.733765,10,22.425534
6359.417114,10,22.803442
5110.833664,10,23.149269
116.499863,10,23.65971
116.499863,10,24.028044
2547.133064,10,24.458269
3588.833008,10,24.793576
4824.599731,10,25.245397
9767.666626,10,25.636271
9767.666626,10,25.987617
7724.716431,10,26.379529
6362.749634,10,26.777745
6362.749634,10,27.089893
2619.499771,10,27.477655
123.999863,10,27.89462
123.999863,10,28.23962
3251.349693,10,28.599663
3598.833008,10,29.054704
4835.266479,10,29.485381
9781.000366,10,29.907346
9781.000366,10,30.255116
7740.050415,10,30.656719
6379.417114,10,31.093138
6379.417114,10,31.410355
760.791588,10,31.787685
136.499863,10,32.223028
483.983177,10,32.556005
3611.333008,10,32.958292
3611.333008,10,33.3362
4847.766479,10,33.650543
9793.500366,10,34.029487
9793.500366,10,34.443591
8092.70874,10,34.806141
6391.917114,10,35.306271
6391.917114,10,35.606377
783.041679,10,35.942257
159.833298,10,36.400844
505.983269,10,36.753803
3621.333008,10,37.23582
3621.333008,10,37.72819
9802.666626,10,38.263785
9802.666626,10,38.677372
7759.716431,10,39.016838
6397.749634,10,39.39373
6397.749634,10,39.777961
1411.016663,10,40.096921
164.33342,10,40.470584
164.33342,10,40.87332
3815.250244,10,41.236685
3815.250244,10,41.602764
5651.900085,10,42.050169
9937.416382,10,42.372463
9937.416382,10,42.728301
8197.457886,10,43.840223
1908.783184,10,44.342339
-40.666618,10,44.668481
-40.666618,10,45.057134
-2169.466717,10,45.485914
-2406.000061,10,45.797236
-2481.666718,10,46.211909
-3162.666626,10,46.669104
-3162.666626,10,46.993873
-807.866695,10,47.578724
201.333275,10,47.903079
186.64994,10,48.315998
54.499931,10,48.793521
54.499931,10,49.142782
-1187.166691,10,49.67701
-2428.833313,10,50.002492
-2428.833313,10,50.334655
-3162.999878,10,50.904568
-3162.999878,10,51.20146
-1810.399933,10,51.570908
218.499985,10,52.06629
218.499985,10,52.408944
-12.166672,10,52.795994
-12.166672,10,53.320839
-970.833328,10,53.665082
-2408.833313,10,54.17045
-2408.833313,10,54.502869
-3004.166565,10,54.855554
-3152.999878,10,55.429325
-1472.249966,10,55.799949
208.499947,10,56.170082
208.499947,10,56.661277
-5.499992,10,57.043212
-5.499992,10,57.534991
-1206.33337,10,57.901217
-2407.166748,10,58.225284
-2407.166748,10,58.718693
-3076.916656,10,59.087277
-3151.333313,10,59.548634
-1176.43335,10,60.042178
140.166626,10,60.367174
123.699974,10,60.975599
57.833366,10,61.316385
57.833366,10,61.744301
-2200.833096,10,62.205727
-3168.833008,10,62.58064
-1469.24984,10,63.531303
230.333328,10,63.992364
-81.479195,10,64.550426
-116.125031,10,64.844769
-1705.795914,10,65.476207
-2387.083435,10,65.920659
-2601.999969,10,66.399014
-2816.916504,10,66.838753
-2816.916504,10,67.211613
84.541588,10,67.694771
84.541588,10,68.078164
-43.891747,10,68.551689
-236.541748,10,68.978645
-667.400055,10,69.522374
-2390.833282,10,69.860303
-2536.78331,10,70.667485
-2877.333374,10,70.957219
-2877.333374,10,71.307962
-688.044481,10,71.913858
250.222187,10,72.293564
244.833307,10,72.944056
239.444427,10,73.361234
238.422203,10,73.750071
234.333305,10,74.299061
234.333305,10,74.644086
241.622215,10,75.233104
243.444443,10,75.619048
244.499989,10,75.965815
245.555534,10,76.493659
245.555534,10,76.822695
188.855576,10,77.439782
1030.133362,10,78.257436
1030.133362,10,78.869408
868.993332,10,79.236771
799.933319,10,79.720708
785.659988,10,80.187967
728.566666,10,80.64931
728.566666,10,80.957354
865.606461,10,81.452449
899.866409,10,81.86922
921.966461,10,82.304493
1010.366669,10,82.851224
1010.366669,10,83.166852
865.303375,10,83.741056
803.133392,10,84.324418
788.133484,10,85.015381
786.466827,10,85.336007
911.743179,10,85.740697
965.433044,10,86.208422
971.393036,10,86.630666
1025.032959,10,87.007228
1025.032959,10,87.47944
858.269836,10,87.885841
786.799927,10,88.307636
810.226501,10,88.796483
903.9328,10,89.103484
903.9328,10,89.593377
941.77301,10,90.051808
951.233063,10,90.462339
933.533096,10,90.932117
774.233398,10,91.373555
774.233398,10,91.854467
819.633484,10,92.348589
819.633484,10,92.837446
881.686523,10,93.254233
897.199783,10,93.87844
1013.180046,10,95.004034
1940.746552,10,95.397208
2169.416504,10,95.742497
357.44989,10,96.348445
-2360.500031,10,96.652928
-2360.500031,10,97.004451
-1639.599976,10,97.529355
-1158.999939,10,97.843332
-846.97493,10,98.431064
1961.250153,10,98.758136
1961.250153,10,99.105385
1496.833191,10,99.751948
1032.416229,10,100.084934
799.224625,10,100.599652
-1299.499817,10,101.036328
-1299.499817,10,101.348377
-301.766621,10,101.883034
125.833321,10,102.414093
569.633305,10,102.976333
759.833298,10,103.383372
780.558342,10,103.85099
967.08374,10,104.180613
967.08374,10,104.563781
-451.016479,10,105.069299
-1396.416626,10,105.38254
-1396.416626,10,105.710949
147.549927,10,106.219953
809.249878,10,106.576113
1064.783203,10,107.143275
2086.916504,10,107.563063
2086.916504,10,107.866917
-1438.949951,10,108.385751
-2320.416565,10,108.839197
-1900.483215,10,109.355326
-1270.583191,10,109.98737
636.666626,10,110.410325
1444.795227,10,111.502746
749.738312,10,111.915469
367.066833,10,112.639241
-525.833282,10,112.971243
-525.833282,10,113.385957
77.100006,10,114.43717
-1027.591644,10,115.378491
-1864.541626,10,115.700584
-1280.706024,10,116.401407
-1280.706024,10,116.76204
-1418.141281,10,117.297771
-1433.411865,10,117.850366
510.843201,10,118.36899
510.843201,10,118.686199
450.737274,10,119.418178
410.666656,10,119.769413
-80.06868,10,120.45059
-1225.117798,10,120.797421
-1267.200134,10,121.260738
-1435.52948,10,121.902792
-1257.868683,10,122.333534
341.078491,10,123.097367
735.086365,10,123.694891
1326.098175,10,124.273477
-390.803909,10,124.803163
-2107.705994,10,125.162466
-2187.770691,10,125.823823
-2374.588318,10,126.168245
-2374.588318,10,126.579916
1162.782608,10,127.243237
1555.823822,10,127.653984
596.164787,10,128.356141
-43.607903,10,128.743719
-1342.984482,10,129.232181
-2209.235535,10,129.861859
-299.003937,10,130.484206
519.666748,10,130.879269
452.608032,10,131.463375
407.902222,10,131.74399
407.902222,10,132.172297
-1290.196228,10,132.717909
-1290.196228,10,133.022101
-1321.905975,10,133.493681
-1448.744965,10,133.983839
-1448.744965,10,134.332307
324.431572,10,134.902466
521.451187,10,135.433654
1416.583435,10,136.814854
1519.055634,10,137.231737
1941.900055,10,138.003896
2576.166687,10,138.322838
2576.166687,10,138.708953
385.222473,10,139.359405
385.222473,10,139.760631
-1087.444275,10,140.507169
-1455.610962,10,140.9322
1382.639069,10,141.654232
1657.883469,10,142.148597
1296.833038,10,142.602067
1117.033142,10,143.308125
397.833557,10,143.795392
551.583466,10,144.408192
910.333252,10,144.941159
1062.322205,10,145.623955
1670.278015,10,145.938448
1670.278015,10,146.320215
1374.88884,10,146.968297
1079.499664,10,147.379162
750.410858,10,147.912081
256.777649,10,148.568028
736.394287,10,149.127167
941.944275,10,149.734864
2435.49411,10,150.304039
1519.38208,10,151.39909
1248.866577,10,151.824811
577.041641,10,152.490759
289.116669,10,153.018308
-3.740021,10,153.738509
-129.250031,10,154.082632
721.611687,10,154.726721
1061.37336,10,155.445757
837.333221,10,155.936351
791.463196,10,156.773658
684.433136,10,157.132088
513.22982,10,157.812735
-1027.600021,10,158.171883
-1027.600021,10,158.547604
1874.89991,10,159.421712
2113.734894,10,159.905124
1360.749817,10,160.507651
543.229858,10,161.107846
-1364.316711,10,161.495084
-176.700058,10,162.287635
1010.916595,10,162.608944
1107.916534,10,163.487196
1253.416443,10,163.853535
1054.033142,10,164.414881
256.499939,10,165.012824
96.019958,10,165.543097
-144.700012,10,166.109046
214.955017,10,166.596341
